dataset,sample_id,iteration,n_inclusion,n_exclusion,miou,dice
Bird,sample_000004,64,64,64,0.3787878787878788,0.5494505494505495
Bird,sample_000004,65,65,65,0.35714285714285715,0.5263157894736842
Bird,sample_000004,66,66,66,0.36496350364963503,0.5347593582887701
Bird,sample_000004,67,67,67,0.34965034965034963,0.5181347150259067
Bird,sample_000004,68,68,68,0.3448275862068966,0.5128205128205128
Bird,sample_000004,69,69,69,0.3401360544217687,0.5076142131979695
Bird,sample_000004,70,70,70,0.32894736842105265,0.49504950495049505
Bird,sample_000004,71,71,71,0.33112582781456956,0.4975124378109453
Bird,sample_000004,72,72,72,0.33557046979865773,0.5025125628140703
Bird,sample_000004,73,73,73,0.32894736842105265,0.49504950495049505
Bird,sample_000004,74,74,74,0.3225806451612903,0.4878048780487805
Bird,sample_000004,75,75,75,0.3333333333333333,0.5
Bird,sample_000004,76,76,76,0.3246753246753247,0.49019607843137253
Bird,sample_000004,77,77,77,0.32051282051282054,0.4854368932038835
Bird,sample_000004,78,78,78,0.32051282051282054,0.4854368932038835
Bird,sample_000004,79,79,79,0.32051282051282054,0.4854368932038835
Bird,sample_000004,80,80,80,0.3105590062111801,0.47393364928909953
Bird,sample_000004,81,81,81,0.3105590062111801,0.47393364928909953
Bird,sample_000004,82,82,82,0.0007556437139888542,0.001510146295422369
Bird,sample_000004,83,83,83,0.2958579881656805,0.45662100456621
Bird,sample_000004,84,84,84,0.2994011976047904,0.4608294930875576
Bird,sample_000004,85,85,85,0.30120481927710846,0.46296296296296297
Bird,sample_000004,86,86,86,0.0007569664569238775,0.0015127877842386424
Bird,sample_000004,87,87,87,0.0007650133877342854,0.0015288571792585043
Bird,sample_000004,88,88,88,0.0007451102142191866,0.0014891108767140287
Bird,sample_000004,89,89,89,0.0007240365035070519,0.0014470253078697074
Bird,sample_000004,90,90,90,0.0007201584348556682,0.00143928035982009
Bird,sample_000004,91,91,91,0.0007195215181904033,0.0014380083584235833
Bird,sample_000004,92,92,92,0.0007086335183654187,0.0014162634249970496
Bird,sample_000004,93,93,93,0.0006985781024872291,0.0013961808635960383
Bird,sample_000004,94,94,94,0.0007030082896394153,0.0014050288323624975
Bird,sample_000004,95,95,95,0.0006886459499010071,0.0013763440860215053
Bird,sample_000004,96,96,96,0.000681227913313748,0.0013615283155341872
Bird,sample_000004,97,97,97,0.0006779661016949153,0.0013550135501355014
Bird,sample_000004,98,98,98,0.0006766853694984069,0.001352455552111803
Bird,sample_000004,99,99,99,0.0006708220365038991,0.0013407446719365381
Bird,sample_000004,100,100,100,0.0006642771142695027,0.001327672286224017
Bird,sample_000006,1,1,1,0.8288911639072263,0.906441214507692
Bird,sample_000006,2,2,2,0.8271378091872792,0.9053918155797942
